Player,Season,Team,Valor_Mercado,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
wajdi kechrida,2021-2022,salernitana,18103000.0,-2.903009637274706,-3.079911212070988,-0.9402230371432442,-0.4804755411037715,-0.012266549551930577,0.9544843243225329,-0.7432993189650403,-0.6812948072082914,-0.1617669557466139,0.18807849704045415,-0.010859492955488353,-0.2788942513938004,-0.46513194452926737,0.02067683269795869,-0.17491134383581294,-0.3903243451725816,-0.6058303398493137,0.03239214465616485,-0.18736109693097242,0.31976141314492157
felipe anderson,2018-2019,west-ham-united,51537000.0,4.647309327829675,11.75701759468706,-0.9327762054216143,-5.616499122034781,2.8515717657540582,-2.5458164856087206,-0.5772501379215904,-0.9096744828083076,1.3226922351126824,-0.48629390300298464,1.4695187162206296,2.1358304124981022,-2.4833259708866144,0.5531510368849729,1.445635271690122,-1.8709507553887352,-1.2402106192171736,1.4866174429442993,-0.07266703704469073,-0.08610970512799732
sebastien de maio,2020-2021,udinese,11863000.0,-4.143390437620867,-2.385707602408864,0.011974087842248045,1.0763136178689852,0.8156651831468866,1.2510342347462302,-0.6259394568216017,-0.45543921686173444,1.3931572843480708,1.1604145310480534,0.1084097238055706,0.07244527936265033,-0.10587955388522885,0.5515963593459023,0.20020973747495668,0.030062617269589184,-0.8421776685832226,0.4757226648393958,-0.18509650206070632,0.012948488728206801
franck kessie,2018-2019,milan,49540899.99999999,1.616573161334878,4.947226848012512,3.823082645394937,-1.6896759553011083,1.8240969144137438,0.7616257093954708,-0.2596950406207021,-0.9114371408544396,-1.9561512711649196,-0.42344329444604945,0.44792053962682415,0.6991183463449231,0.7242665075792416,0.017315357213967843,0.9512351311063734,0.4068754736193329,-0.4110915340341042,0.28057480967582715,0.713720696577814,-0.5072587799057611
andros townsend,2018-2019,crystal-palace,46297700.00000001,2.489378074384225,7.994158170685984,0.28545116686713917,-3.9877955409299046,1.437223575456078,-1.4516240115243269,-1.161260182215865,-1.0175937820402372,1.5953252771172286,0.16199389564172814,0.3473300928460474,1.1087625572426885,-2.4669293947796382,-0.19794962188195955,-0.21988488500437411,-2.4895217152612457,0.8430419408886312,0.9602847276173053,-0.09622574229061424,1.4587467677143693
pietro pellegri,2023-2024,torino,18987000.0,-1.3765738867845247,-4.659592740526413,-0.7385539442905715,-0.2223753147596783,0.01918929190650553,-0.5100917754105428,-0.07232457434257362,0.014115399592675175,-0.44162678547099044,-1.2169773655246678,-0.09192090550658194,-0.5988178242723872,0.3740063532914665,-0.41480147722798666,-0.12548814501192285,-0.21599489719749476,0.26472424039494186,0.4250055220388499,0.2679090908561036,-0.29874687174823994
will hughes,2019-2020,watford,39130000.00000001,0.7308314296937428,7.060528775147633,-2.4400359862818273,-0.31412607924579317,1.9663837729880538,-1.84852800677477,1.4322640615035542,-0.6033119342236514,0.11477650647543958,-0.5206008439502154,-0.9281150626514897,-0.2613945866144443,0.5143920836700834,1.179407376083606,0.2969123016030211,-0.04366363469619236,-0.5047945169974528,0.23347780520131986,-0.6301294131800931,-0.5510322275363541
jurgen locadia,2018-2019,brighton-and-hove-albion,21983100.000000007,-2.540310607490087,-2.486298759352293,0.7640192237383019,-1.433525769062287,0.9042244669294516,-0.7223086286771156,-1.0626625362083562,-0.512837331843313,0.053565826937585014,0.18289699104640114,-0.055466177846195314,-0.24624868743730252,-0.12438249249069576,0.18958700237940213,-0.3861397263552553,0.05572128339870757,-0.09911613940188403,0.3151155110564157,-0.6488983922174967,-0.31380276941035773
kastriot dermaku,2021-2022,lecce,16575000.0,-3.249143461383047,-2.2902278296602865,0.6110686448752658,1.4767952625904774,0.4252889601744733,0.63336733109573,-0.580023550733127,-0.027964794090323167,1.195559030447292,-0.48850792290991185,0.017477208306036194,-0.029193895689806196,0.05051579532042464,-0.1092958260726434,0.5249169281729493,0.5446379492296316,-0.39370726085662183,-0.005817631296409659,0.10022474219751713,-0.20304166478765975
nacho monreal,2018-2019,arsenal,25752300.000000004,-2.051554267521132,2.0392365313632297,0.4925080632383542,-0.3288988861587229,0.40661344982130926,0.9519598771820957,-0.8979912929275669,-0.1858836158945538,1.6957506911215692,0.4846235329014958,0.13705876007983073,-0.003055123572490616,0.2354537802302602,0.354343624613365,0.5273788852927448,0.07090153980720657,0.40691731358958644,0.7492539460827431,-0.1327824958335394,0.1431705247485837
andrea conti,2019-2020,milan,30346000.0,-1.6463634379110483,3.171556159623621,-1.296003699662646,-0.2497558920838143,-0.025001484862284217,0.6257402977089502,0.7008649916830604,-0.04352880367988009,-0.21395195952708027,-0.7868842935052943,0.5346384040640554,0.5223075330895205,0.8194025746406735,-1.0863906458423012,-0.268821147960434,0.11614693723424459,0.49179537949472746,0.32921052393612876,-0.21479873776340438,0.7252159126890549
nicolo fagioli,2022-2023,juventus,31017999.999999996,0.8096062657677382,-0.8508641381476753,-1.1830246909176516,-0.3652246490801205,-0.45973310449771754,-0.5939682840692009,0.5064857358154539,-0.4794109194052215,-0.842240235105745,-1.218610711808536,1.445722729827368,-0.8846460128773292,-0.17561577544570342,-0.20504932913933804,-0.1767601494325798,-0.4618571240965584,-0.21029183182657435,0.21009071401569399,0.20580250902162853,-0.46128879231157877
aaron cresswell,2018-2019,west-ham-united,24527799.999999996,-2.6975457083767984,0.999207617429923,-0.09157426827078702,-0.6965933568357914,0.6915448218133853,0.353301752258848,-0.7965710577891527,-0.6541587013346537,0.9777604801890182,0.12075771245099658,-0.2670770023968475,0.2862107046133984,-1.0886748356839222,0.34019549702312407,0.7372486769424286,-0.04296952425145166,-0.06788580965722439,0.6718007082349975,0.1570425503208027,-0.04045113940732129
