Jogador,Vanja Milinković-Savić,Raoul Bellanova,Duván Zapata,Ricardo Rodríguez,Nikola Vlašić,Alessandro Buongiorno,Samuele Ricci,Adrien Tameze,Ivan Ilić,Antonio Sanabria,Valentino Lazaro,Karol Linetty,Mërgim Vojvoda,Adam Masina,Perr Schuurs,Koffi Djidji,Pietro Pellegri,Matteo Lovato,Demba Seck,Gvidas Gineitis,Nemanja Radonjić,David Okereke,Saba Sazonov,Luca Gemello,Brandon Soppy,Yann Karamoh,David Zima,Zanos Savva,Alessandro Dellavalle,Simone Verdi,Jacopo Antolini,Brian Bayeye,Côme Bianay Balcot,Matteo Brezzo,Aaron Ciammaglichella,Ali Dembélé,Emirhan İlkhan,Uroš Kabić,Vimoj Muntu Wa Mungu,Caumenan N'Guessan,Eybi Nije,Pietro Passador,Mihai Popa,Jonathan Silva
Pos.,G,ZG,AT,ZG,"LT,AT",ZG,LT,"ZG,LT",LT,"AT,LT","ZG,LT",LT,ZG,ZG,ZG,ZG,AT,ZG,LT,LT,"LT,AT","AT,LT",ZG,G,ZG,"LT,AT",ZG,"ZG,LT",ZG,AT,LT,ZG,ZG,G,LT,ZG,LT,LT,ZG,ZG,AT,G,G,LT
Assis..1,0.0,21.0,12.0,6.0,7.0,0.0,8.0,8.0,9.0,0.0,18.0,0.0,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,24.0,50.0,10.0,17.0,11.0,11.0,8.0,21.0,21.0,18.0,0.0,20.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,37.0,3.0,10.0,11.0,4.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,24.0,50.0,10.0,17.0,11.0,11.0,8.0,21.0,13.0,18.0,0.0,20.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,6.0,34.0,1.0,8.0,6.0,5.0,3.0,9.0,39.0,8.0,2.0,2.0,2.0,8.0,1.0,12.0,1.0,7.0,7.0,41.0,9.0,4.0,0.0,0.0,8.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,15.0,9.0,4.0,10.0,0.0,9.0,9.0,21.0,6.0,13.0,4.0,9.0,2.0,0.0,0.0,4.0,0.0,3.0,8.0,5.0,4.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,21.0,43.0,5.0,18.0,6.0,13.0,12.0,30.0,45.0,21.0,7.0,12.0,4.0,8.0,1.0,16.0,1.0,10.0,15.0,46.0,13.0,5.0,0.0,4.0,11.0,0.0,51.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,6.0,34.0,1.0,8.0,6.0,5.0,3.0,9.0,32.0,8.0,2.0,2.0,2.0,8.0,1.0,12.0,1.0,7.0,7.0,41.0,9.0,4.0,0.0,0.0,8.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,21.0,43.0,5.0,18.0,6.0,13.0,12.0,30.0,38.0,21.0,7.0,12.0,4.0,8.0,1.0,16.0,1.0,10.0,15.0,46.0,13.0,5.0,0.0,4.0,11.0,0.0,51.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,36.0,18.0,45.0,28.0,70.0,33.0,35.0,22.0,18.0,18.0,30.0,17.0,17.0,20.0,14.0,5.0,10.0,5.0,11.0,1.0,3.0,9.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,471.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,26.0,7.0,26.0,16.0,39.0,18.0,16.0,8.0,15.0,11.0,21.0,8.0,12.0,12.0,9.0,1.0,7.0,3.0,7.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,275.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
