Jogador,Sebastiano Luperto,Fabiano Parisi,Guglielmo Vicario,Răzvan Marin,Filippo Bandinelli,Tommaso Baldanzi,Ardian Ismajli,Tyronne Ebuehi,Francesco Caputo,Martin Satriano,Petar Stojanović,Jean-Daniel Akpa-Akpro,Alberto Grassi,Nicolò Cambiaghi,Nicolas Haas,Koni De Winter,Liam Henderson,Sam Lammers,Nedim Bajrami,Jacopo Fazzini,Samuele Perisan,Sebastian Walukiewicz,Mattia Destro,Roberto Piccoli,Liberato Cacace,Marko Pjaca,Emanuel Vignato,Emmanuel Ekong,Lorenzo Tonelli,Samir Ujkani,Duccio Degl'Innocenti,Herculano Nabian,Samuele Angori,Giovanni Crociata,Gabriele Guarino,Lorenzo Ignacchiti,Gabriele Indragoli,Gian Marco Fantoni,Davide Merola,Alessandro Renzi,Jacopo Seghetti,Lovro Štubljar,Leo Štulac
Pos.,ZG,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,ZG,"LT,AT",LT,"AT,LT",LT,ZG,LT,AT,"LT,AT",LT,G,ZG,"AT,LT",AT,ZG,"LT,AT","LT,AT","AT,LT",ZG,G,LT,LT,ZG,LT,ZG,LT,ZG,G,AT,LT,G,G,LT
PrgR,3.0,68.0,0.0,27.0,89.0,94.0,0.0,42.0,128.0,127.0,51.0,37.0,10.0,99.0,23.0,0.0,38.0,67.0,47.0,40.0,0.0,0.0,20.0,25.0,31.0,33.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,6.0,6.0,0.0,7.0,8.0,20.0,0.0,9.0,26.0,11.0,0.0,7.0,0.0,42.0,8.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,16.0,35.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,0.0,14.0,0.0,0.0,0.0,19.0,21.0,5.0,6.0,7.0,0.0,7.0,8.0,0.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,6.0,6.0,0.0,21.0,8.0,20.0,0.0,28.0,47.0,16.0,6.0,13.0,0.0,49.0,16.0,0.0,9.0,20.0,19.0,0.0,0.0,0.0,16.0,35.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,6.0,6.0,0.0,7.0,8.0,20.0,0.0,9.0,16.0,11.0,0.0,7.0,0.0,42.0,8.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,16.0,35.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,6.0,6.0,0.0,21.0,8.0,20.0,0.0,28.0,37.0,16.0,6.0,13.0,0.0,49.0,16.0,0.0,9.0,20.0,19.0,0.0,0.0,0.0,16.0,35.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,4.0,6.0,0.0,5.0,7.0,12.0,3.0,14.0,39.0,20.0,2.0,10.0,4.0,23.0,9.0,0.0,4.0,23.0,12.0,11.0,0.0,5.0,22.0,22.0,9.0,11.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,2.0,6.0,0.0,15.0,10.0,9.0,1.0,9.0,12.0,7.0,6.0,6.0,3.0,8.0,7.0,1.0,12.0,7.0,11.0,9.0,0.0,1.0,6.0,7.0,10.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,5.0,12.0,0.0,20.0,17.0,21.0,4.0,23.0,51.0,27.0,8.0,16.0,7.0,31.0,16.0,1.0,17.0,30.0,23.0,20.0,0.0,7.0,28.0,29.0,19.0,19.0,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,4.0,6.0,0.0,5.0,7.0,12.0,3.0,14.0,31.0,20.0,2.0,10.0,4.0,23.0,9.0,0.0,4.0,23.0,12.0,11.0,0.0,5.0,22.0,22.0,9.0,11.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,5.0,12.0,0.0,20.0,17.0,21.0,4.0,23.0,43.0,27.0,8.0,16.0,7.0,31.0,16.0,1.0,17.0,30.0,23.0,20.0,0.0,7.0,28.0,29.0,19.0,19.0,49.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,33.0,65.0,1.0,44.0,55.0,25.0,40.0,22.0,2.0,13.0,42.0,53.0,26.0,30.0,27.0,14.0,13.0,20.0,8.0,31.0,0.0,9.0,1.0,1.0,25.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,606.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,18.0,35.0,1.0,22.0,34.0,12.0,32.0,14.0,2.0,8.0,22.0,37.0,21.0,22.0,13.0,9.0,10.0,10.0,4.0,17.0,0.0,6.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
