Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,14.0,qua,2022-11-09,20:45,Inter,2.6,6–1,0.7,Bologna,69.312,Stadio Giuseppe Meazza,Andrea Colombo,Relatório da Partida,
Temporada regular,14.0,qui,2022-11-10,18:30,Hellas Verona,1.2,0–1,1.1,Juventus,21.934,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Relatório da Partida,
Temporada regular,14.0,qui,2022-11-10,20:45,Lazio,1.5,1–0,0.5,Monza,36.0,Stadio Olimpico,Alberto Santoro,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,15.0,sex,2022-11-11,20:45,Empoli,2.2,2–0,1.3,Cremonese,8.077,Stadio Carlo Castellani,Federico Dionisi,Relatório da Partida,
Temporada regular,15.0,sáb,2022-11-12,15:00,Napoli,1.5,3–2,0.7,Udinese,51.0,Stadio Diego Armando Maradona,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,15.0,sáb,2022-11-12,18:00,Sampdoria,0.7,0–2,0.6,Lecce,20.211,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
Temporada regular,15.0,sáb,2022-11-12,20:45,Bologna,0.8,3–0,0.8,Sassuolo,20.811,Stadio Renato Dall'Ara,Ivan Pezzuto,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,12:30,Atalanta,1.8,2–3,2.2,Inter,19.353,Gewiss Stadium,Daniele Chiffi,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,15:00,Roma,1.7,1–1,0.9,Torino,61.168,Stadio Olimpico,Antonio Rapuano,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,15:00,Monza,2.4,3–0,0.2,Salernitana,12.372,U-Power Stadium,Antonio Giua,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,15:00,Hellas Verona,2.1,1–2,0.8,Spezia,18.0,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,18:00,Milan,1.5,2–1,0.5,Fiorentina,73.007,Stadio Giuseppe Meazza,Simone Sozza,Relatório da Partida,
Temporada regular,15.0,dom,2022-11-13,20:45,Juventus,1.6,3–0,0.4,Lazio,38.729,Allianz Stadium,Davide Massa,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,16.0,qua,2023-01-04,12:30,Sassuolo,1.8,1–2,1.3,Sampdoria,8.0,Mapei Stadium - Città del Tricolore,Fabio Maresca,Relatório da Partida,
Temporada regular,16.0,qua,2023-01-04,12:30,Salernitana,0.7,1–2,2.7,Milan,29.541,Stadio Arechi,Francesco Fourneau,Relatório da Partida,
