Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
11.0,dom,2021-10-31,12:30,Inter,2.1,2–0,0.4,Udinese,48.076,Stadio Giuseppe Meazza,Juan Sacchi,Relatório da Partida,
11.0,dom,2021-10-31,15:00,Sassuolo,1.2,1–2,1.6,Empoli,3.539,Mapei Stadium - Città del Tricolore,Luca Massimi,Relatório da Partida,
11.0,dom,2021-10-31,15:00,Fiorentina,2.8,3–0,0.1,Spezia,19.511,Stadio Artemio Franchi,Antonio Giua,Relatório da Partida,
11.0,dom,2021-10-31,15:00,Genoa,0.8,0–0,0.6,Venezia,7.92,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Relatório da Partida,
11.0,dom,2021-10-31,18:00,Salernitana,0.5,0–1,1.8,Napoli,17.043,Stadio Arechi,Michael Fabbri,Relatório da Partida,
11.0,dom,2021-10-31,20:45,Roma,1.3,1–2,1.8,Milan,51.001,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
11.0,seg,2021-11-01,20:45,Bologna,1.2,2–0,0.6,Cagliari,10.126,Stadio Renato Dall'Ara,Davide Massa,Relatório da Partida,
,,,,,,,,,,,,,
12.0,sex,2021-11-05,20:45,Empoli,0.7,2–2,1.6,Genoa,5.631,Stadio Carlo Castellani,Luca Pairetto,Relatório da Partida,
12.0,sáb,2021-11-06,15:00,Spezia,0.3,1–0,0.4,Torino,6.953,Stadio Alberto Picco,Daniele Orsato,Relatório da Partida,
12.0,sáb,2021-11-06,18:00,Juventus,0.6,1–0,0.4,Fiorentina,6.953,Allianz Stadium,Simone Sozza,Relatório da Partida,
12.0,sáb,2021-11-06,20:45,Cagliari,0.6,1–2,2.9,Atalanta,6.976,Unipol Domus,Marco Piccinini,Relatório da Partida,
12.0,dom,2021-11-07,12:30,Venezia,2.9,3–2,3.8,Roma,8.263,Stadio Pierluigi Penzo,Gianluca Aureliano,Relatório da Partida,
12.0,dom,2021-11-07,15:00,Sampdoria,1.1,1–2,1.6,Bologna,5.694,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Relatório da Partida,
12.0,dom,2021-11-07,15:00,Udinese,1.5,3–2,0.9,Sassuolo,8.322,Dacia Arena,Federico Dionisi,Relatório da Partida,
12.0,dom,2021-11-07,18:00,Lazio,1.6,3–0,0.3,Salernitana,25.0,Stadio Olimpico,Antonio Rapuano,Relatório da Partida,
12.0,dom,2021-11-07,18:00,Napoli,0.9,1–1,0.9,Hellas Verona,28.0,Stadio Diego Armando Maradona,Giovanni Ayroldi,Relatório da Partida,
12.0,dom,2021-11-07,20:45,Milan,1.0,1–1,2.6,Inter,56.608,Stadio Giuseppe Meazza,Daniele Doveri,Relatório da Partida,
,,,,,,,,,,,,,
13.0,sáb,2021-11-20,15:00,Atalanta,2.2,5–2,0.7,Spezia,10.744,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Relatório da Partida,
13.0,sáb,2021-11-20,18:00,Lazio,0.2,0–2,2.4,Juventus,45.0,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
13.0,sáb,2021-11-20,20:45,Fiorentina,1.2,4–3,2.0,Milan,32.567,Stadio Artemio Franchi,Marco Guida,Relatório da Partida,
